concurrency,avg node bandwidth,avg node concurrent mean,avg node mean,avg node longest,avg php bandwidth,avg php concurrent mean,avg php mean,avg php longest
2,10.432,95.924,191.8484,321.4,10.452,95.78200000000001,191.564,422.0
4,17.566,56.93299999999999,227.73180000000002,357.0,17.683999999999997,56.7038,226.81599999999997,397.0
8,21.798,45.8986,367.1894,502.6,22.66,44.1634,353.3078,461.8
16,27.73,36.0654,577.0456,990.0,27.482,36.407399999999996,582.5208,1168.2
32,29.419999999999998,33.9936,1087.7872,4196.2,29.163999999999998,34.304199999999994,1097.7378,3456.6
64,28.962,34.5332,2210.1264,7816.4,29.106,34.358999999999995,2198.9758,7480.0
128,28.567999999999994,35.011399999999995,4481.4562000000005,8721.2,28.881999999999998,34.6308,4432.7538,8591.8
256,40.906000000000006,24.4476,6258.558,6091.6,28.088,35.6052,9114.921400000001,8945.8
