File,node db band,node reg band,node stat band,php db band,php reg band,php stat band,node db mean,node reg mean,node stat mean,php db mean,php reg mean,php stat mean
0,93.01,0.33,0.54,94.77,0.33,0.55,10.751,3064.942,1843.539,10.552,3074.976,1830.205
1,97.15,0.33,0.57,97.15,0.33,0.56,10.294,3065.009,1740.100,10.294,3072.076,1777.702
2,94.88,0.33,0.55,96.55,0.33,0.57,10.540,3060.308,1829.338,10.358,3072.576,1769.068
3,96.43,0.33,0.57,95.42,0.32,0.56,10.370,3060.808,1743.933,10.480,3080.010,1792.303
4,95.89,0.33,0.57,95.43,0.32,0.56,10.428,3063.875,1754.934,10.478,3078.176,1798.870
