concurrency,avg node bandwidth,avg node concurrent mean,avg node mean,avg node longest,avg php bandwidth,avg php concurrent mean,avg php mean,avg php longest
2,150.46599999999998,6.6564,13.3126,116.6,256.228,3.9200000000000004,7.8401999999999985,183.4
4,184.176,5.43,21.7212,385.0,301.43999999999994,3.3174,13.271199999999999,105.0
8,204.348,4.893800000000001,39.14960000000001,156.2,294.608,3.4012000000000002,27.211399999999998,729.4
16,214.63600000000002,4.6592,74.54639999999999,201.2,291.37800000000004,3.4324,54.9218,268.4
32,222.166,4.501399999999999,144.03719999999998,292.8,288.20799999999997,3.4818,111.4164,936.6
64,223.88599999999997,4.4668,285.8656,511.4,260.77599999999995,3.8622,247.18359999999998,1842.0
128,227.11800000000002,4.403599999999999,563.6469999999999,922.4,259.832,3.8497999999999997,492.7616,2559.6
256,225.788,4.431,1134.3493999999998,2549.0,215.06199999999998,4.6596,1192.895,6841.0
512,166.644,6.2112,3180.1626,6703.6,68.774,14.540199999999999,7444.5474,10796.0
1024,171.68200000000002,5.8252,5964.8542,8066.6,67.912,14.725400000000002,15078.873400000002,20118.6
2048,155.412,6.4399999999999995,13189.26,16370.2,68.572,14.5846,29869.576399999998,34665.0
4096,151.29199999999997,6.629599999999999,27155.0022,30254.2,66.376,15.0692,61724.2704,66866.0
8192,153.504,6.524000000000001,53444.879799999995,54897.8,64.56800000000001,15.494399999999999,126927.5544,129914.0
