Concurrency Level,Node Bandwidth,Node Concurrent Mean,Node Mean,Node Longest,PHP Bandwidth,PHP Concurrent Mean,PHP Mean,PHP Longest
2,0.66,1512.291,3024.5824,4120.4,0.662,1510.9376,3021.8748,3807.6
4,0.66,1519.4424,6077.7692,7487.6,0.668,1495.5072,5982.0288,7420
8,0.68,1473.4714,11787.7704,17899.6,0.676,1480.6134,11844.9054,17677.8
16,0.624,1606.4616,25703.3848,40413.6,0.636,1574.9446,25199.1138,40672.2
32,0.632,1590.3252,50890.4088,86283.8,0.622,1612.3848,51596.3102,83728.4
64,0.604,1658.1122,106119.1854,137380.2,0.59,1692.92,108346.8692,157344.8
128,0.582,1719.7326,220125.7438,218896.4,0.554,1814.6246,232271.9252,231707.2
