concurrency,avg node bandwidth,avg node concurrent mean,avg node mean,avg node longest,avg php bandwidth,avg php concurrent mean,avg php mean,avg php longest
2,1.28,779.8062,1559.6126,1728.6,0.264,3780.0392,7560.078199999999,7928.0
4,1.2820000000000003,779.0752,3116.3002000000006,3176.4,0.27,3727.2366,14908.946,15506.4
8,1.28,780.1476,6241.1810000000005,6296.2,0.27,3675.1716,29401.3712,30360.8
16,1.28,779.8064,12476.902,12523.8,0.28,3575.9647999999993,57215.43980000001,60016.6
32,1.28,779.1238,24931.963399999997,24956.8,0.28200000000000003,3521.0586000000003,112673.8774,119395.4
64,1.28,781.3664000000001,50007.447199999995,49823.2,0.28200000000000003,3536.5748,226340.79479999997,226184.8
