File,node db band,node reg band,node stat band,php db band,php reg band,php stat band,node db mean,node reg mean,node stat mean,php db mean,php reg mean,php stat mean
0,94.33,0.12,0.56,102.41,0.13,0.60,10.601,8650.428,1787.502,9.765,7909.886,1664.595
1,92.71,0.11,0.56,98.48,0.13,0.58,10.786,8996.615,1799.670,10.154,7877.251,1723.232
2,96.64,0.11,0.58,94.56,0.13,0.53,10.348,8701.098,1738.133,10.576,7996.057,1870.207
3,98.52,0.12,0.60,100.99,0.13,0.58,10.150,8601.092,1654.761,9.902,7790.279,1728.599
4,100.01,0.12,0.62,95.60,0.13,0.55,9.999,8662.395,1604.592,10.460,7878.051,1826.204
